,ID,Year_Birth,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,maritalstatus,numberofkids,Age,ValidCustomer,amountspent,x0_2n Cycle,x0_Basic,x0_Graduation,x0_Master,x0_PhD,MostSpntOn
0,5524,1957,0,58138.0,04-09-2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,0,0,55,yes,1617,0.0,0.0,1.0,0.0,0.0,Wine
1,2174,1954,0,46344.0,08-03-2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,0,2,60,no,27,0.0,0.0,1.0,0.0,0.0,Wine
2,4141,1965,1,71613.0,21-08-2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,1,0,48,yes,776,0.0,0.0,1.0,0.0,0.0,Wine
3,6182,1984,1,26646.0,10-02-2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,1,1,30,no,53,0.0,0.0,1.0,0.0,0.0,Meat
4,5324,1981,1,58293.0,19-01-2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,1,1,33,no,422,0.0,0.0,0.0,0.0,1.0,Wine
5,7446,1967,1,62513.0,09-09-2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,1,1,46,yes,716,0.0,0.0,0.0,1.0,0.0,Wine
6,965,1971,0,55635.0,13-11-2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,0,1,41,no,590,0.0,0.0,1.0,0.0,0.0,Wine
7,6177,1985,1,33454.0,08-05-2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,1,1,28,no,169,0.0,0.0,0.0,0.0,1.0,Wine
8,4855,1974,1,30351.0,06-06-2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,1,1,39,no,46,0.0,0.0,0.0,0.0,1.0,Meat
9,5899,1950,1,5648.0,13-03-2014,68,28,0,6,1,1,13,1,1,0,0,5,1,0,0,0,0,0,3,11,0,1,2,64,no,49,0.0,0.0,0.0,0.0,1.0,Wine
10,1994,1983,1,52247.0,15-11-2013,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,1,1,30,no,19,0.0,0.0,1.0,0.0,0.0,Meat
11,387,1976,1,7500.0,13-11-2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,1,0,36,no,61,0.0,1.0,0.0,0.0,0.0,Fruits
12,2125,1959,0,63033.0,15-11-2013,82,194,61,480,37,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,0,0,54,yes,1102,0.0,0.0,1.0,0.0,0.0,Meat
13,8180,1952,0,59354.0,15-11-2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,0,2,61,no,310,0.0,0.0,0.0,1.0,0.0,Wine
14,2569,1987,1,17323.0,10-10-2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,1,0,25,no,46,0.0,0.0,1.0,0.0,0.0,Meat
15,2114,1946,0,82800.0,24-11-2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,0,0,66,yes,1315,0.0,0.0,0.0,0.0,1.0,Wine
16,9736,1980,1,41850.0,24-12-2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,1,2,32,no,96,0.0,0.0,1.0,0.0,0.0,Wine
17,4939,1946,1,37760.0,31-08-2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,1,0,66,no,317,0.0,0.0,1.0,0.0,0.0,Fish
18,6565,1949,1,76995.0,28-03-2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1,1,64,yes,1782,0.0,0.0,0.0,1.0,0.0,Wine
19,2278,1985,0,33812.0,03-11-2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,0,1,27,no,133,1.0,0.0,0.0,0.0,0.0,Gold
20,9360,1982,1,37040.0,08-08-2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,1,0,30,no,316,0.0,0.0,1.0,0.0,0.0,Wine
21,5376,1979,1,2447.0,06-01-2013,42,1,1,166,1,1,1,2,0,2,0,1,0,0,0,0,0,0,3,11,0,1,1,34,yes,1730,0.0,0.0,1.0,0.0,0.0,Meat
22,1993,1949,1,58607.0,23-12-2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,1,1,63,yes,972,0.0,0.0,0.0,0.0,1.0,Wine
23,4047,1954,1,65324.0,11-01-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,1,1,60,no,544,0.0,0.0,0.0,0.0,1.0,Wine
24,1409,1951,1,40689.0,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,1,1,62,no,444,0.0,0.0,1.0,0.0,0.0,Wine
25,7892,1969,0,18589.0,02-01-2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,0,0,44,no,75,0.0,0.0,1.0,0.0,0.0,Meat
26,2404,1976,1,53359.0,27-05-2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,1,2,37,no,257,0.0,0.0,1.0,0.0,0.0,Wine
27,5255,1986,0,52247.0,20-02-2013,19,5,1,3,3,27,44,0,4,0,0,1,0,0,0,0,0,0,3,11,0,0,1,27,yes,637,0.0,0.0,1.0,0.0,0.0,Gold
28,9422,1989,1,38360.0,31-05-2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,1,1,24,no,131,0.0,0.0,1.0,0.0,0.0,Meat
29,1966,1965,1,84618.0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,1,0,48,yes,1672,0.0,0.0,0.0,0.0,1.0,Meat
30,6864,1989,0,10979.0,22-05-2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,0,0,25,no,30,0.0,0.0,0.0,1.0,0.0,Meat
31,3033,1963,1,38620.0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,1,0,50,no,318,0.0,0.0,0.0,1.0,0.0,Wine
32,5710,1970,1,40548.0,10-10-2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,1,1,42,no,120,0.0,0.0,1.0,0.0,0.0,Wine
33,7373,1952,0,46610.0,29-10-2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,0,2,60,no,302,0.0,0.0,0.0,0.0,1.0,Wine
34,8755,1946,1,68657.0,20-02-2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,1,0,67,yes,1196,0.0,0.0,0.0,1.0,0.0,Wine
35,10738,1951,0,49389.0,29-08-2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,0,2,62,no,65,0.0,0.0,0.0,1.0,0.0,Wine
36,4339,1970,1,67353.0,31-12-2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,1,1,43,yes,913,0.0,0.0,0.0,0.0,1.0,Wine
37,10755,1976,1,23718.0,02-09-2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,1,1,37,no,81,1.0,0.0,0.0,0.0,0.0,Gold
38,8595,1973,0,42429.0,11-02-2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,0,1,41,no,67,0.0,0.0,1.0,0.0,0.0,Wine
39,2968,1943,0,48948.0,01-02-2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,0,0,70,yes,902,0.0,0.0,0.0,0.0,1.0,Wine
