,ID,Year_Birth,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,numberofkids,Age,x0_2n Cycle,x0_Basic,x0_Graduation,x0_Master,x0_PhD
0,5524,1957.0,0,58138.0,04-09-2012,58,635.0,88.0,546.0,172.0,88.0,88.0,3.0,8.0,10.0,4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,1,0,55.0,0.0,0.0,1.0,0.0,0.0
1,2174,1954.0,0,46344.0,08-03-2014,38,11.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,2,60.0,0.0,0.0,1.0,0.0,0.0
2,4141,1965.0,1,71613.0,21-08-2013,26,426.0,49.0,127.0,111.0,21.0,42.0,1.0,8.0,2.0,10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,48.0,0.0,0.0,1.0,0.0,0.0
3,6182,1984.0,1,26646.0,10-02-2014,26,11.0,4.0,20.0,10.0,3.0,5.0,2.0,2.0,0.0,4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,30.0,0.0,0.0,1.0,0.0,0.0
4,5324,1981.0,1,58293.0,19-01-2014,94,173.0,43.0,118.0,46.0,27.0,15.0,5.0,5.0,3.0,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,33.0,0.0,0.0,0.0,0.0,1.0
5,7446,1967.0,1,62513.0,09-09-2013,16,520.0,42.0,98.0,0.0,42.0,14.0,2.0,6.0,4.0,10,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,46.0,0.0,0.0,0.0,1.0,0.0
6,965,1971.0,0,55635.0,13-11-2012,34,235.0,65.0,164.0,50.0,49.0,27.0,4.0,7.0,3.0,7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,41.0,0.0,0.0,1.0,0.0,0.0
7,6177,1985.0,1,33454.0,08-05-2013,32,76.0,10.0,56.0,3.0,1.0,23.0,2.0,4.0,0.0,4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,28.0,0.0,0.0,0.0,0.0,1.0
8,4855,1974.0,1,30351.0,06-06-2013,19,14.0,0.0,24.0,3.0,3.0,2.0,1.0,3.0,0.0,2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,1,1,39.0,0.0,0.0,0.0,0.0,1.0
9,5899,1950.0,1,5648.0,13-03-2014,68,28.0,0.0,6.0,1.0,1.0,13.0,1.0,1.0,0.0,0,5.316517857142857,0.07276785714285715,0.0,0.0,0.0,0.0,0.0,3,11,0,2,64.0,0.0,0.0,0.0,0.0,1.0
10,1994,1983.0,1,51635.853344237505,15-11-2013,11,5.0,5.0,6.0,0.0,2.0,1.0,1.0,1.0,0.0,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,1,30.0,0.0,0.0,1.0,0.0,0.0
11,387,1976.0,1,7500.0,13-11-2012,59,6.0,16.0,11.0,11.0,1.0,16.0,1.0,2.0,0.0,3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,36.0,0.0,1.0,0.0,0.0,0.0
12,2125,1959.0,0,63033.0,15-11-2013,82,194.0,61.0,480.0,37.52544642857143,112.0,30.0,1.0,3.0,4.0,8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,54.0,0.0,0.0,1.0,0.0,0.0
13,8180,1952.0,0,59354.0,15-11-2013,53,233.0,2.0,53.0,3.0,5.0,14.0,3.0,6.0,1.0,5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,2,61.0,0.0,0.0,0.0,1.0,0.0
14,2569,1987.0,1,17323.0,10-10-2012,38,3.0,14.0,17.0,6.0,1.0,5.0,1.0,1.0,0.0,3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,25.0,0.0,0.0,1.0,0.0,0.0
15,2114,1946.0,0,82800.0,24-11-2012,23,1006.0,22.0,115.0,59.0,68.0,45.0,1.0,7.0,6.0,12,3.0,0.0,0.0,0.07276785714285715,0.06428571428571428,0.0,0.0,3,11,1,0,66.0,0.0,0.0,0.0,0.0,1.0
16,9736,1980.0,1,41850.0,24-12-2012,51,53.0,5.0,19.0,2.0,13.0,4.0,3.0,3.0,0.0,3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,2,32.0,0.0,0.0,1.0,0.0,0.0
17,4939,1946.0,1,37760.0,31-08-2012,20,84.0,5.0,38.0,150.0,12.0,28.0,2.0,4.0,1.0,6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0,0,66.0,0.0,0.0,1.0,0.0,0.0
18,6565,1949.0,1,76995.0,28-03-2013,91,1012.0,80.0,498.0,0.0,16.0,176.0,2.0,11.0,4.0,9,5.0,0.0,0.0,0.0,0.06428571428571428,0.0,0.0,3,11,0,1,64.0,0.0,0.0,0.0,1.0,0.0
