,ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,numberofkids,Age,AgeCategory
0,5524,1957,Graduation,unmarried,58138,04-09-2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,0,55,Elder
1,2174,1954,Graduation,unmarried,46344,08-03-2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,2,60,Elder
2,4141,1965,Graduation,married,71613,21-08-2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,0,48,Adult
3,6182,1984,Graduation,married,26646,10-02-2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,1,30,Adult
4,5324,1981,PhD,married,58293,19-01-2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,1,33,Adult
5,7446,1967,Master,married,62513,09-09-2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,1,46,Adult
6,965,1971,Graduation,divorced,55635,13-11-2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,1,41,Adult
7,6177,1985,PhD,married,33454,08-05-2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,1,28,Adult
8,4855,1974,PhD,married,30351,06-06-2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,1,39,Adult
9,5899,1950,PhD,married,5648,13-03-2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,2,64,Elder
10,1994,1983,Graduation,married,,15-11-2013,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,1,30,Adult
11,387,1976,Basic,married,7500,13-11-2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,0,36,Adult
12,2125,1959,Graduation,divorced,63033,15-11-2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,0,54,Elder
13,8180,1952,Master,divorced,59354,15-11-2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,2,61,Elder
14,2569,1987,Graduation,married,17323,10-10-2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,0,25,Adult
15,2114,1946,PhD,unmarried,82800,24-11-2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,0,66,Elder
16,9736,1980,Graduation,married,41850,24-12-2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2,32,Adult
17,4939,1946,Graduation,married,37760,31-08-2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,0,66,Elder
18,6565,1949,Master,married,76995,28-03-2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1,64,Elder
19,2278,1985,2n Cycle,unmarried,33812,03-11-2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,1,27,Adult
20,9360,1982,Graduation,married,37040,08-08-2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,0,30,Adult
21,5376,1979,Graduation,married,2447,06-01-2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,1,34,Adult
22,1993,1949,PhD,married,58607,23-12-2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,1,63,Elder
23,4047,1954,PhD,married,65324,11-01-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,1,60,Elder
24,1409,1951,Graduation,married,40689,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,1,62,Elder
25,7892,1969,Graduation,unmarried,18589,02-01-2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,0,44,Adult
26,2404,1976,Graduation,married,53359,27-05-2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,2,37,Adult
27,5255,1986,Graduation,unmarried,,20-02-2013,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,1,27,Adult
28,9422,1989,Graduation,married,38360,31-05-2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,1,24,Adult
29,1966,1965,PhD,married,84618,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,0,48,Adult
30,6864,1989,Master,divorced,10979,22-05-2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,0,25,Adult
31,3033,1963,Master,married,38620,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,0,50,Elder
32,5710,1970,Graduation,married,40548,10-10-2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,1,42,Adult
33,7373,1952,PhD,divorced,46610,29-10-2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,2,60,Elder
34,8755,1946,Master,married,68657,20-02-2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,0,67,Elder
35,10738,1951,Master,unmarried,49389,29-08-2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,2,62,Elder
36,4339,1970,PhD,married,67353,31-12-2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,1,43,Adult
37,10755,1976,2n Cycle,married,23718,02-09-2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,1,37,Adult
38,8595,1973,Graduation,unmarried,42429,11-02-2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,1,41,Adult
39,2968,1943,PhD,divorced,48948,01-02-2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,0,70,Elder
40,8601,1980,Graduation,married,80011,29-04-2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,1,33,Adult
41,503,1985,Master,married,20559,12-03-2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,1,28,Adult
42,8430,1957,Graduation,married,21994,24-12-2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,1,55,Elder
43,7281,1959,PhD,unmarried,,05-11-2013,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,0,54,Elder
44,2139,1975,Master,married,7500,02-10-2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,1,38,Adult
45,1371,1976,Graduation,unmarried,79941,28-06-2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,0,38,Adult
46,9909,1996,2n Cycle,married,7500,09-11-2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,0,16,Teen
47,7286,1968,Graduation,married,41728,24-05-2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,1,45,Adult
48,7244,1951,Graduation,unmarried,,01-01-2014,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,3,63,Elder
49,6566,1954,PhD,married,72550,08-11-2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,2,58,Elder
50,8614,1957,Graduation,unmarried,65486,12-05-2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,1,57,Elder
51,4114,1964,Master,married,79143,11-08-2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,0,48,Adult
52,1331,1977,Graduation,unmarried,35790,02-01-2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,1,36,Adult
53,2225,1977,Graduation,divorced,82582,07-06-2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,0,37,Adult
