MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
635,88,546,172,88,88
11,1,6,2,1,6
426,49,127,111,21,42
11,4,20,10,3,5
173,43,118,46,27,15
520,42,98,0,42,14
235,65,164,50,49,27
76,10,56,3,1,23
14,0,24,3,3,2
28,0,6,1,1,13
5,5,6,0,2,1
6,16,11,11,1,16
194,61,480,225,112,30
233,2,53,3,5,14
3,14,17,6,1,5
1006,22,115,59,68,45
53,5,19,2,13,4
84,5,38,150,12,28
1012,80,498,0,16,176
4,17,19,30,24,39
86,2,73,69,38,48
1,1,1725,1,1,1
867,0,86,0,0,19
384,0,102,21,32,5
270,3,27,39,6,99
6,4,25,15,12,13
173,4,30,3,6,41
5,1,3,3,263,362
36,2,42,20,21,10
684,100,801,21,66,0
8,4,10,2,2,4
112,17,44,34,22,89
110,0,5,2,0,3
96,12,96,33,22,43
482,34,471,119,68,22
40,0,19,2,1,3
702,17,151,0,8,35
6,3,14,15,7,36
55,0,6,2,0,4
437,8,206,160,49,42
421,76,536,82,178,102
13,1,29,3,0,7
9,0,6,3,1,3
81,11,50,3,2,39
3,1,10,3,2,12
123,164,266,227,30,174
3,18,14,15,22,50
13,6,15,3,5,13
48,5,48,6,10,7
826,50,317,50,38,38
245,19,125,37,67,14
650,37,780,27,167,32
12,6,20,30,1,3
510,120,550,156,40,241
328,9,124,12,24,109
984,51,432,180,120,190
295,35,482,121,120,40
13,0,8,2,1,5
11,3,22,2,2,6
447,0,28,0,0,43
712,26,538,69,13,80
452,18,102,16,18,6
523,7,134,37,14,169
546,0,48,0,6,6
398,40,367,119,122,30
1,3,6,3,6,15
10,0,1,0,0,0
688,14,309,201,24,38
247,49,159,7,82,109
856,59,487,58,29,73
496,36,460,189,60,12
25,3,43,17,4,17
258,107,291,84,37,86
565,6,65,0,6,19
14,10,13,4,15,9
2,1,6,2,1,1
721,111,925,97,18,18
1032,105,779,137,105,51
1,0,5,0,3,9
577,0,64,0,0,51
